mass_A
t,x,y
1.642991111E1,1.590916339E1,6.994320159E0
1.646322222E1,1.585259012E1,6.989856219E0
1.649653333E1,1.580152186E1,6.989406969E0
1.652984444E1,1.575014814E1,6.987870279E0
1.656315556E1,1.572274895E1,6.966425285E0
1.659646667E1,1.568682674E1,6.961143659E0
1.662977778E1,1.564243717E1,6.956933767E0
1.666321111E1,1.560201870E1,6.955559142E0
1.669652222E1,1.555546412E1,6.956085893E0
1.672983333E1,1.552636657E1,6.954570375E0
1.676314444E1,1.548840007E1,6.951843044E0
1.679645556E1,1.544148222E1,6.954408214E0
1.682976667E1,1.539124671E1,6.951692845E0
1.686307778E1,1.535113932E1,6.952383873E0
1.689650000E1,1.529303673E1,6.949785800E0
1.692981111E1,1.528284437E1,6.926054082E0
1.696312222E1,1.523059617E1,6.921336628E0
1.699643333E1,1.518107530E1,6.915866959E0
1.702985556E1,1.512719974E1,6.916563104E0
1.706312222E1,1.507814903E1,6.911767126E0
1.709638889E1,1.502458548E1,6.913995313E0
1.712977778E1,1.498144329E1,6.913663002E0
1.716316667E1,1.495862697E1,6.882020837E0
1.719642222E1,1.490912560E1,6.874962593E0
1.722967778E1,1.486327532E1,6.872361376E0
1.726306667E1,1.480882894E1,6.870499847E0
1.729645556E1,1.475505097E1,6.870923266E0
1.732972222E1,1.471127259E1,6.869661527E0
1.736311111E1,1.466355849E1,6.868705890E0
1.739638889E1,1.461822311E1,6.865318370E0
1.742966667E1,1.456578172E1,6.865343572E0
1.746294444E1,1.455149842E1,6.843009526E0
1.749635556E1,1.449482066E1,6.830805922E0
1.752976667E1,1.444900776E1,6.830487242E0
1.756302222E1,1.439379546E1,6.826839455E0
1.759627778E1,1.434486918E1,6.828095311E0
1.762966667E1,1.429039661E1,6.825361073E0
1.766305556E1,1.423558442E1,6.815582262E0
1.769631111E1,1.418284680E1,6.816870168E0
1.772956667E1,1.414834546E1,6.804839730E0
1.776297778E1,1.408381909E1,6.787880173E0
1.779628889E1,1.402806983E1,6.786768129E0
1.782960000E1,1.397252867E1,6.783189826E0
1.786302222E1,1.391145680E1,6.777807977E0
1.789644444E1,1.385667587E1,6.770159214E0
1.792961111E1,1.381891462E1,6.758283259E0
1.796292222E1,1.375881106E1,6.744585661E0
1.799623333E1,1.370196697E1,6.742710450E0
1.802954444E1,1.363482772E1,6.742443388E0
1.806285556E1,1.356070392E1,6.730776024E0
1.809616667E1,1.350636463E1,6.733483388E0
1.812947778E1,1.345885871E1,6.713695885E0
1.816290000E1,1.339617430E1,6.701033896E0
1.819621111E1,1.331878038E1,6.701575157E0
1.822952222E1,1.324225445E1,6.696296023E0
1.826283333E1,1.315356238E1,6.694019181E0
1.829614444E1,1.309654663E1,6.668798867E0
1.832957778E1,1.303099414E1,6.656600410E0
1.836283333E1,1.294739040E1,6.656951412E0
1.839608889E1,1.287037123E1,6.649657137E0
1.842950000E1,1.278476942E1,6.644163570E0
1.846281111E1,1.272519169E1,6.622478806E0
1.849612222E1,1.264873226E1,6.615743033E0
1.852943333E1,1.256973271E1,6.610872580E0
1.856274444E1,1.250379166E1,6.603855103E0
1.859605556E1,1.242001023E1,6.606044548E0
1.862936667E1,1.236836719E1,6.581566559E0
1.866278889E1,1.229538671E1,6.568758590E0
1.869611111E1,1.221763826E1,6.568839033E0
1.872943333E1,1.214680099E1,6.558848046E0
1.876275556E1,1.208853324E1,6.533629320E0
1.879607778E1,1.201417353E1,6.530187668E0
1.882940000E1,1.193073603E1,6.521533999E0
1.886272222E1,1.184542220E1,6.519052200E0
1.889604444E1,1.178083560E1,6.509096668E0
1.892936667E1,1.172607582E1,6.488491794E0
1.896268889E1,1.164879292E1,6.485641958E0
1.899601111E1,1.157479430E1,6.479298826E0
1.902933333E1,1.149037887E1,6.479610602E0
1.906265556E1,1.142889027E1,6.455858403E0
1.909597778E1,1.134300495E1,6.439894862E0
1.912930000E1,1.126291254E1,6.435178372E0
1.916262222E1,1.118745589E1,6.429658632E0
1.919594444E1,1.112265704E1,6.411617805E0
1.922926667E1,1.105002096E1,6.393573081E0
1.926258889E1,1.096405102E1,6.391686782E0
